data/fasta/Test_315.fa
[OK] 4yoc_A → torch.Size([882, 2560])
[OK] 5nrm_A → torch.Size([140, 2560])
[OK] 6lbu_B → torch.Size([135, 2560])
[OK] 5ynm_B → torch.Size([120, 2560])
[OK] 5zwl_E → torch.Size([138, 2560])
[OK] 6kmq_B → torch.Size([116, 2560])
[OK] 4u5y_D → torch.Size([115, 2560])
[OK] 4zgy_B → torch.Size([125, 2560])
[OK] 5f22_B → torch.Size([115, 2560])
[OK] 3x37_B → torch.Size([130, 2560])
[OK] 5d1m_B → torch.Size([110, 2560])
[OK] 5iwb_A → torch.Size([109, 2560])
[OK] 5maw_E → torch.Size([112, 2560])
[OK] 5xly_B → torch.Size([121, 2560])
[OK] 5iwb_B → torch.Size([117, 2560])
[OK] 5lda_A → torch.Size([130, 2560])
[OK] 6mib_B → torch.Size([124, 2560])
[OK] 4cmm_A → torch.Size([117, 2560])
[OK] 4cmm_B → torch.Size([119, 2560])
[OK] 5imm_A → torch.Size([120, 2560])
[OK] 4rhz_B → torch.Size([125, 2560])
[OK] 5b64_B → torch.Size([116, 2560])
[OK] 4n80_B → torch.Size([122, 2560])
[OK] 5xbf_B → torch.Size([119, 2560])
[OK] 4zqu_A → torch.Size([124, 2560])
[OK] 3x37_A → torch.Size([113, 2560])
[OK] 4qjf_B → torch.Size([122, 2560])
[OK] 5wp3_B → torch.Size([100, 2560])
[OK] 5zza_P → torch.Size([119, 2560])
[OK] 6sm5_A → torch.Size([106, 2560])
[OK] 4bmp_B → torch.Size([117, 2560])
[OK] 6h1f_B → torch.Size([102, 2560])
[OK] 6kp3_B → torch.Size([112, 2560])
[OK] 6h2u_B → torch.Size([118, 2560])
[OK] 6kmq_A → torch.Size([91, 2560])
[OK] 5j26_A → torch.Size([114, 2560])
[OK] 5l8l_B → torch.Size([109, 2560])
[OK] 6c7y_B → torch.Size([117, 2560])
[OK] 6od1_B → torch.Size([106, 2560])
[OK] 3wdg_B → torch.Size([110, 2560])
[OK] 4rs1_A → torch.Size([105, 2560])
[OK] 5jno_A → torch.Size([97, 2560])
[OK] 5knh_I → torch.Size([97, 2560])
[OK] 6r6m_A → torch.Size([110, 2560])
[OK] 6aw3_A → torch.Size([108, 2560])
[OK] 5gpy_B → torch.Size([101, 2560])
[OK] 6qta_B → torch.Size([101, 2560])
[OK] 7bxf_C → torch.Size([104, 2560])
[OK] 4pw9_B → torch.Size([83, 2560])
[OK] 5fq2_B → torch.Size([100, 2560])
[OK] 5ncm_B → torch.Size([90, 2560])
[OK] 4c4k_T → torch.Size([97, 2560])
[OK] 5v03_B → torch.Size([86, 2560])
[OK] 6r6m_B → torch.Size([100, 2560])
[OK] 5jwo_B → torch.Size([88, 2560])
[OK] 7cd8_A → torch.Size([99, 2560])
[OK] 4y5o_A → torch.Size([78, 2560])
[OK] 7bu5_A → torch.Size([84, 2560])
[OK] 5e95_B → torch.Size([92, 2560])
[OK] 6ixx_I → torch.Size([97, 2560])
[OK] 5m2o_B → torch.Size([74, 2560])
[OK] 6o6e_E → torch.Size([75, 2560])
[OK] 6wh1_A → torch.Size([95, 2560])
[OK] 4zv0_B → torch.Size([94, 2560])
[OK] 5kev_A → torch.Size([90, 2560])
[OK] 6fub_B → torch.Size([93, 2560])
[OK] 6ndu_B → torch.Size([84, 2560])
[OK] 6aci_H → torch.Size([87, 2560])
[OK] 6swt_B → torch.Size([88, 2560])
[OK] 4mrt_C → torch.Size([77, 2560])
[OK] 4yii_A → torch.Size([72, 2560])
[OK] 5f22_A → torch.Size([79, 2560])
[OK] 4uaf_E → torch.Size([72, 2560])
[OK] 5svh_A → torch.Size([85, 2560])
[OK] 5vgb_B → torch.Size([85, 2560])
[OK] 4udm_A → torch.Size([84, 2560])
[OK] 5b5w_U → torch.Size([64, 2560])
[OK] 5czd_B → torch.Size([77, 2560])
[OK] 6odd_A → torch.Size([85, 2560])
[OK] 4k12_B → torch.Size([82, 2560])
[OK] 5dmb_D → torch.Size([72, 2560])
[OK] 5xed_A → torch.Size([82, 2560])
[OK] 4cj0_B → torch.Size([60, 2560])
[OK] 6ea3_A → torch.Size([70, 2560])
[OK] 6fc0_B → torch.Size([77, 2560])
[OK] 6fub_A → torch.Size([81, 2560])
[OK] 7d2s_B → torch.Size([70, 2560])
[OK] 4xlg_B → torch.Size([67, 2560])
[OK] 4zrl_B → torch.Size([64, 2560])
[OK] 5imt_D → torch.Size([77, 2560])
[OK] 7cn7_C → torch.Size([75, 2560])
[OK] 5chl_A → torch.Size([68, 2560])
[OK] 6odd_B → torch.Size([74, 2560])
[OK] 6tri_B → torch.Size([69, 2560])
[OK] 4yh8_B → torch.Size([55, 2560])
[OK] 5j4s_B → torch.Size([60, 2560])
[OK] 5abu_B → torch.Size([58, 2560])
[OK] 5wxk_B → torch.Size([66, 2560])
[OK] 6bn1_B → torch.Size([70, 2560])
[OK] 6gr8_B → torch.Size([64, 2560])
[OK] 5lda_B → torch.Size([57, 2560])
[OK] 5eu0_B → torch.Size([55, 2560])
[OK] 6kbr_C → torch.Size([55, 2560])
[OK] 4k12_A → torch.Size([64, 2560])
[OK] 4x33_A → torch.Size([60, 2560])
[OK] 7bu5_B → torch.Size([49, 2560])
[OK] 5aie_A → torch.Size([54, 2560])
[OK] 5jno_B → torch.Size([57, 2560])
[OK] 6bn1_A → torch.Size([54, 2560])
[OK] 5h65_B → torch.Size([53, 2560])
[OK] 6fc3_B → torch.Size([46, 2560])
data/fasta/Train_335.fa
[OK] 1f60_B → torch.Size([90, 2560])
[OK] 4iu2_B → torch.Size([237, 2560])
[OK] 3f6q_B → torch.Size([72, 2560])
[OK] 4bi8_A → torch.Size([94, 2560])
[OK] 2o3b_A → torch.Size([241, 2560])
[OK] 3h4s_E → torch.Size([96, 2560])
[OK] 1mah_A → torch.Size([533, 2560])
[OK] 3p8b_A → torch.Size([60, 2560])
[OK] 4kt6_A → torch.Size([254, 2560])
[OK] 2r25_A → torch.Size([166, 2560])
[OK] 2qc1_B → torch.Size([212, 2560])
[OK] 2d5r_A → torch.Size([252, 2560])
[OK] 1pq1_A → torch.Size([147, 2560])
[OK] 3w0l_A → torch.Size([426, 2560])
[OK] 3mcb_B → torch.Size([58, 2560])
[OK] 3vpj_A → torch.Size([146, 2560])
[OK] 1nw9_A → torch.Size([91, 2560])
[OK] 3zeu_D → torch.Size([230, 2560])
[OK] 3nyb_B → torch.Size([64, 2560])
[OK] 3fqd_A → torch.Size([667, 2560])
[OK] 3mj7_B → torch.Size([189, 2560])
[OK] 7cei_A → torch.Size([87, 2560])
[OK] 1ksh_A → torch.Size([164, 2560])
[OK] 4kt6_B → torch.Size([161, 2560])
[OK] 1dfj_E → torch.Size([124, 2560])
[OK] 1euv_B → torch.Size([79, 2560])
[OK] 2o2v_A → torch.Size([92, 2560])
[OK] 2fcw_B → torch.Size([78, 2560])
[OK] 2dvw_B → torch.Size([73, 2560])
[OK] 3o3m_A → torch.Size([399, 2560])
[OK] 1gcq_C → torch.Size([69, 2560])
[OK] 1xg2_A → torch.Size([317, 2560])
[OK] 4g7x_A → torch.Size([92, 2560])
[OK] 3fii_A → torch.Size([403, 2560])
[OK] 4bjj_B → torch.Size([85, 2560])
[OK] 4e4w_A → torch.Size([261, 2560])
[OK] 2qkl_B → torch.Size([90, 2560])
[OK] 2v1y_A → torch.Size([88, 2560])
[OK] 1acb_I → torch.Size([63, 2560])
[OK] 1jtd_B → torch.Size([273, 2560])
[OK] 3dlq_I → torch.Size([131, 2560])
[OK] 3fmo_B → torch.Size([232, 2560])
[OK] 2o3b_B → torch.Size([135, 2560])
[OK] 1ewy_A → torch.Size([303, 2560])
[OK] 2mta_A → torch.Size([105, 2560])
[OK] 4bh6_D → torch.Size([305, 2560])
[OK] 2omz_B → torch.Size([105, 2560])
[OK] 2qc1_A → torch.Size([74, 2560])
[OK] 3w2w_A → torch.Size([618, 2560])
[OK] 4etp_B → torch.Size([287, 2560])
[OK] 2a9k_B → torch.Size([207, 2560])
[OK] 4a5u_B → torch.Size([80, 2560])
[OK] 1pxv_A → torch.Size([183, 2560])
[OK] 3bp6_A → torch.Size([112, 2560])
[OK] 4m69_A → torch.Size([284, 2560])
[OK] 3d7v_A → torch.Size([144, 2560])
[OK] 3uvj_B → torch.Size([196, 2560])
[OK] 1v74_B → torch.Size([87, 2560])
[OK] 3f1s_B → torch.Size([259, 2560])
[OK] 4dfc_B → torch.Size([121, 2560])
[OK] 3mdb_C → torch.Size([365, 2560])
[OK] 3aqb_B → torch.Size([321, 2560])
[OK] 1hx1_B → torch.Size([112, 2560])
[OK] 3w2w_B → torch.Size([308, 2560])
[OK] 1kkl_H → torch.Size([86, 2560])
[OK] 4iu2_A → torch.Size([205, 2560])
[OK] 3w0l_B → torch.Size([598, 2560])
[OK] 4bjj_A → torch.Size([106, 2560])
[OK] 1z3e_B → torch.Size([67, 2560])
[OK] 1u0s_Y → torch.Size([118, 2560])
[OK] 1yvb_I → torch.Size([111, 2560])
[OK] 3mmy_A → torch.Size([354, 2560])
[OK] 1ktz_B → torch.Size([106, 2560])
[OK] 3axj_B → torch.Size([235, 2560])
[OK] 1ta3_B → torch.Size([301, 2560])
[OK] 3bp6_B → torch.Size([186, 2560])
[OK] 1nrj_A → torch.Size([147, 2560])
[OK] 3ona_B → torch.Size([66, 2560])
[OK] 3og6_A → torch.Size([143, 2560])
[OK] 3q9n_A → torch.Size([138, 2560])
[OK] 2voh_A → torch.Size([155, 2560])
[OK] 2ajf_E → torch.Size([174, 2560])
[OK] 3zyi_A → torch.Size([395, 2560])
[OK] 2hqs_A → torch.Size([412, 2560])
[OK] 1jmt_A → torch.Size([98, 2560])
[OK] 4euk_B → torch.Size([152, 2560])
[OK] 1n2c_A → torch.Size([478, 2560])
[OK] 3d4u_B → torch.Size([74, 2560])
[OK] 4bh6_L → torch.Size([51, 2560])
[OK] 4hff_B → torch.Size([99, 2560])
[OK] 2cg5_A → torch.Size([266, 2560])
[OK] 3our_A → torch.Size([394, 2560])
[OK] 2hrk_B → torch.Size([121, 2560])
[OK] 2apo_A → torch.Size([304, 2560])
[OK] 4hlu_D → torch.Size([245, 2560])
[OK] 1ksh_B → torch.Size([141, 2560])
[OK] 1b6c_A → torch.Size([107, 2560])
[OK] 2o2v_B → torch.Size([82, 2560])
[OK] 1k5d_B → torch.Size([146, 2560])
[OK] 1k5d_C → torch.Size([344, 2560])
[OK] 1fc2_C → torch.Size([44, 2560])
[OK] 1n2c_E → torch.Size([274, 2560])
[OK] 3zeu_E → torch.Size([337, 2560])
[OK] 3di3_B → torch.Size([193, 2560])
[OK] 4je3_A → torch.Size([244, 2560])
[OK] 2b59_A → torch.Size([166, 2560])
[OK] 2j3r_A → torch.Size([158, 2560])
[OK] 4fou_C → torch.Size([95, 2560])
[OK] 2b59_B → torch.Size([156, 2560])
[OK] 4kbm_A → torch.Size([386, 2560])
[OK] 2ozn_B → torch.Size([131, 2560])
[OK] 1t6b_X → torch.Size([676, 2560])
[OK] 4awx_A → torch.Size([252, 2560])
[OK] 1ib1_A → torch.Size([227, 2560])
[OK] 1eer_A → torch.Size([166, 2560])
[OK] 3cki_A → torch.Size([256, 2560])
[OK] 3mdb_A → torch.Size([98, 2560])
[OK] 4apx_A → torch.Size([208, 2560])
[OK] 2qxv_A → torch.Size([352, 2560])
[OK] 2d5r_B → torch.Size([116, 2560])
[OK] 2v8s_E → torch.Size([137, 2560])
[OK] 1mah_F → torch.Size([61, 2560])
[OK] 2v1y_B → torch.Size([166, 2560])
[OK] 3tgx_B → torch.Size([115, 2560])
[OK] 1e6e_A → torch.Size([457, 2560])
[OK] 2v8s_V → torch.Size([93, 2560])
[OK] 2d74_B → torch.Size([137, 2560])
[OK] 2wus_A → torch.Size([335, 2560])
[OK] 1efn_B → torch.Size([104, 2560])
[OK] 3cf4_G → torch.Size([169, 2560])
[OK] 3gni_A → torch.Size([335, 2560])
[OK] 3anw_B → torch.Size([162, 2560])
[OK] 4hff_A → torch.Size([152, 2560])
[OK] 1k74_A → torch.Size([232, 2560])
[OK] 2o8v_B → torch.Size([108, 2560])
[OK] 3m7f_B → torch.Size([135, 2560])
[OK] 3ayh_B → torch.Size([183, 2560])
[OK] 3mmy_B → torch.Size([51, 2560])
[OK] 1k74_D → torch.Size([272, 2560])
[OK] 1e4k_C → torch.Size([172, 2560])
[OK] 1rlb_E → torch.Size([174, 2560])
[OK] 2c5k_T → torch.Size([89, 2560])
[OK] 1ktz_A → torch.Size([82, 2560])
[OK] 2yaj_A → torch.Size([869, 2560])
[OK] 3vz9_B → torch.Size([103, 2560])
[OK] 1nrj_B → torch.Size([191, 2560])
[OK] 3b08_B → torch.Size([58, 2560])
[OK] 3aqb_A → torch.Size([135, 2560])
[OK] 4fq0_B → torch.Size([182, 2560])
[OK] 4fq0_C → torch.Size([80, 2560])
[OK] 3gni_B → torch.Size([304, 2560])
[OK] 3mj7_A → torch.Size([229, 2560])
[OK] 3vu9_A → torch.Size([215, 2560])
[OK] 4joi_D → torch.Size([118, 2560])
[OK] 2z0e_B → torch.Size([118, 2560])
[OK] 3c5t_A → torch.Size([104, 2560])
[OK] 4fou_A → torch.Size([262, 2560])
[OK] 3zhe_A → torch.Size([399, 2560])
[OK] 2doh_X → torch.Size([165, 2560])
[OK] 1jiw_P → torch.Size([470, 2560])
[OK] 3d48_R → torch.Size([195, 2560])
[OK] 2p7v_A → torch.Size([151, 2560])
[OK] 2hqs_H → torch.Size([108, 2560])
[OK] 4euk_A → torch.Size([136, 2560])
[OK] 4f6u_B → torch.Size([267, 2560])
[OK] 2j3r_B → torch.Size([157, 2560])
[OK] 1efn_A → torch.Size([57, 2560])
[OK] 4hop_A → torch.Size([87, 2560])
[OK] 1z0j_B → torch.Size([51, 2560])
[OK] 4eqa_C → torch.Size([150, 2560])
[OK] 2ycl_B → torch.Size([309, 2560])
[OK] 3tu3_B → torch.Size([526, 2560])
[OK] 2cg5_B → torch.Size([71, 2560])
[OK] 3pv6_A → torch.Size([214, 2560])
[OK] 4ged_B → torch.Size([102, 2560])
[OK] 3bs5_B → torch.Size([74, 2560])
[OK] 1e6e_B → torch.Size([113, 2560])
[OK] 1gl4_B → torch.Size([89, 2560])
[OK] 1tnr_A → torch.Size([144, 2560])
[OK] 3cx8_B → torch.Size([193, 2560])
[OK] 2o8v_A → torch.Size([229, 2560])
[OK] 3p8b_B → torch.Size([147, 2560])
[OK] 3zkq_A → torch.Size([376, 2560])
[OK] 3zr4_B → torch.Size([201, 2560])
[OK] 4h3k_A → torch.Size([317, 2560])
[OK] 2wd5_A → torch.Size([177, 2560])
[OK] 1eer_B → torch.Size([213, 2560])
[OK] 3dgp_A → torch.Size([62, 2560])
[OK] 4gn4_B → torch.Size([108, 2560])
[OK] 4awx_B → torch.Size([63, 2560])
[OK] 3beg_B → torch.Size([86, 2560])
[OK] 3dlq_R → torch.Size([201, 2560])
[OK] 1f60_A → torch.Size([440, 2560])
[OK] 1pxv_C → torch.Size([111, 2560])
[OK] 1tnr_R → torch.Size([139, 2560])
[OK] 1svd_M → torch.Size([108, 2560])
[OK] 3fqd_B → torch.Size([321, 2560])
[OK] 2fp4_A → torch.Size([304, 2560])
[OK] 3m7f_A → torch.Size([107, 2560])
[OK] 2yc2_D → torch.Size([148, 2560])
[OK] 1dfj_I → torch.Size([456, 2560])
[OK] 2h0d_B → torch.Size([100, 2560])
[OK] 2wd5_B → torch.Size([191, 2560])
[OK] 2ajf_A → torch.Size([597, 2560])
[OK] 4apx_B → torch.Size([238, 2560])
[OK] 3bs5_A → torch.Size([83, 2560])
[OK] 2z0e_A → torch.Size([315, 2560])
[OK] 3anw_A → torch.Size([171, 2560])
[OK] 3vu9_B → torch.Size([191, 2560])
[OK] 4a5u_A → torch.Size([148, 2560])
[OK] 5wy5_A → torch.Size([236, 2560])
[OK] 1itb_B → torch.Size([310, 2560])
[OK] 4etp_A → torch.Size([379, 2560])
[OK] 3ona_A → torch.Size([158, 2560])
[OK] 1c1y_B → torch.Size([77, 2560])
[OK] 1jiw_I → torch.Size([105, 2560])
[OK] 1z5y_E → torch.Size([136, 2560])
[OK] 2h0d_A → torch.Size([97, 2560])
[OK] 3og6_B → torch.Size([200, 2560])
[OK] 1h32_A → torch.Size([260, 2560])
[OK] 1kkl_C → torch.Size([168, 2560])
[OK] 1ka9_F → torch.Size([251, 2560])
[OK] 1ghq_A → torch.Size([307, 2560])
[OK] 2xqr_A → torch.Size([537, 2560])
[OK] 2y9w_C → torch.Size([136, 2560])
[OK] 1hx1_A → torch.Size([377, 2560])
[OK] 1n2c_B → torch.Size([522, 2560])
[OK] 1te1_B → torch.Size([190, 2560])
[OK] 4kt3_B → torch.Size([127, 2560])
[OK] 2p7v_B → torch.Size([68, 2560])
[OK] 3axj_A → torch.Size([222, 2560])
[OK] 2ehb_D → torch.Size([126, 2560])
[OK] 1k5d_A → torch.Size([206, 2560])
[OK] 1udi_E → torch.Size([227, 2560])
[OK] 1xg2_B → torch.Size([151, 2560])
[OK] 1wpx_B → torch.Size([204, 2560])
[OK] 3h4s_A → torch.Size([359, 2560])
[OK] 3pv6_B → torch.Size([112, 2560])
[OK] 1wkw_A → torch.Size([191, 2560])
[OK] 3zyi_B → torch.Size([303, 2560])
[OK] 1tdq_A → torch.Size([271, 2560])
[OK] 1jmo_H → torch.Size([259, 2560])
[OK] 2ycl_A → torch.Size([443, 2560])
[OK] 1nw9_B → torch.Size([238, 2560])
[OK] 4f6u_A → torch.Size([334, 2560])
[OK] 3tgx_A → torch.Size([208, 2560])
[OK] 1euv_A → torch.Size([221, 2560])
[OK] 2yaj_B → torch.Size([86, 2560])
[OK] 1z5y_D → torch.Size([118, 2560])
